ID,Prey,Taxonomic_group_prey,Predator,Taxonomic_group_pred,Citation,Full_reference
184,Lithodes santolla,Decapoda,Lithodes santolla,Decapoda,Andrade et al. (2022),"Andrade, C., Rivera, C., Daza, E., Almonacid, E., Ovando, F., Morello, F., & Pardo, L. M. (2022). Trophic Niche Dynamics and Diet Partitioning of King Crab Lithodes santolla in Chile’s Sub-Antarctic Water. Diversity, 14(1), 56. https://doi.org/10.3390/d14010056"
185,Polychaeta,Polychaeta,Lithodes santolla,Decapoda,Andrade et al. (2022),"Andrade, C., Rivera, C., Daza, E., Almonacid, E., Ovando, F., Morello, F., & Pardo, L. M. (2022). Trophic Niche Dynamics and Diet Partitioning of King Crab Lithodes santolla in Chile’s Sub-Antarctic Water. Diversity, 14(1), 56. https://doi.org/10.3390/d14010056"
186,Porifera,Porifera,Lithodes santolla,Decapoda,Andrade et al. (2022),"Andrade, C., Rivera, C., Daza, E., Almonacid, E., Ovando, F., Morello, F., & Pardo, L. M. (2022). Trophic Niche Dynamics and Diet Partitioning of King Crab Lithodes santolla in Chile’s Sub-Antarctic Water. Diversity, 14(1), 56. https://doi.org/10.3390/d14010056"
187,Pseudechinus magellanicus,Echinoidea,Lithodes santolla,Decapoda,Andrade et al. (2022),"Andrade, C., Rivera, C., Daza, E., Almonacid, E., Ovando, F., Morello, F., & Pardo, L. M. (2022). Trophic Niche Dynamics and Diet Partitioning of King Crab Lithodes santolla in Chile’s Sub-Antarctic Water. Diversity, 14(1), 56. https://doi.org/10.3390/d14010056"
188,Red algae,Macroalgae,Lithodes santolla,Decapoda,Andrade et al. (2022),"Andrade, C., Rivera, C., Daza, E., Almonacid, E., Ovando, F., Morello, F., & Pardo, L. M. (2022). Trophic Niche Dynamics and Diet Partitioning of King Crab Lithodes santolla in Chile’s Sub-Antarctic Water. Diversity, 14(1), 56. https://doi.org/10.3390/d14010056"
189,Sediment,"Non-living
",Lithodes santolla,Decapoda,Andrade et al. (2022),"Andrade, C., Rivera, C., Daza, E., Almonacid, E., Ovando, F., Morello, F., & Pardo, L. M. (2022). Trophic Niche Dynamics and Diet Partitioning of King Crab Lithodes santolla in Chile’s Sub-Antarctic Water. Diversity, 14(1), 56. https://doi.org/10.3390/d14010056"
190,Amphipoda,Amphipoda,Lithodes santolla (juvenile),Decapoda,Pardo et al. (2021),"Pardo, L. M., Andrade, C., Zenteno-Devaud, L., Garrido, B., & Rivera, C. (2021). Trophic Ecology of Juvenile Southern King Crab Associated with Kelp Forest: Evidence of Cannibalism. Diversity, 13(11), 556. https://doi.org/10.3390/d13110556"
191,Benthic decapoda,Decapoda,Lithodes santolla (juvenile),Decapoda,Pardo et al. (2021),"Pardo, L. M., Andrade, C., Zenteno-Devaud, L., Garrido, B., & Rivera, C. (2021). Trophic Ecology of Juvenile Southern King Crab Associated with Kelp Forest: Evidence of Cannibalism. Diversity, 13(11), 556. https://doi.org/10.3390/d13110556"
192,Bivalvia,Bivalvia,Lithodes santolla (juvenile),Decapoda,Pardo et al. (2021),"Pardo, L. M., Andrade, C., Zenteno-Devaud, L., Garrido, B., & Rivera, C. (2021). Trophic Ecology of Juvenile Southern King Crab Associated with Kelp Forest: Evidence of Cannibalism. Diversity, 13(11), 556. https://doi.org/10.3390/d13110556"
193,Brown algae,Macroalgae,Lithodes santolla (juvenile),Decapoda,Pardo et al. (2021),"Pardo, L. M., Andrade, C., Zenteno-Devaud, L., Garrido, B., & Rivera, C. (2021). Trophic Ecology of Juvenile Southern King Crab Associated with Kelp Forest: Evidence of Cannibalism. Diversity, 13(11), 556. https://doi.org/10.3390/d13110556"
194,Foraminifera,Foraminifera,Lithodes santolla (juvenile),Decapoda,Pardo et al. (2021),"Pardo, L. M., Andrade, C., Zenteno-Devaud, L., Garrido, B., & Rivera, C. (2021). Trophic Ecology of Juvenile Southern King Crab Associated with Kelp Forest: Evidence of Cannibalism. Diversity, 13(11), 556. https://doi.org/10.3390/d13110556"
195,Green algae,Macroalgae,Lithodes santolla (juvenile),Decapoda,Pardo et al. (2021),"Pardo, L. M., Andrade, C., Zenteno-Devaud, L., Garrido, B., & Rivera, C. (2021). Trophic Ecology of Juvenile Southern King Crab Associated with Kelp Forest: Evidence of Cannibalism. Diversity, 13(11), 556. https://doi.org/10.3390/d13110556"
196,Hydrozoa,Hydrozoa,Lithodes santolla (juvenile),Decapoda,Pardo et al. (2021),"Pardo, L. M., Andrade, C., Zenteno-Devaud, L., Garrido, B., & Rivera, C. (2021). Trophic Ecology of Juvenile Southern King Crab Associated with Kelp Forest: Evidence of Cannibalism. Diversity, 13(11), 556. https://doi.org/10.3390/d13110556"
197,Nacella deaurata,Gastropoda,Lithodes santolla (juvenile),Decapoda,Pardo et al. (2021),"Pardo, L. M., Andrade, C., Zenteno-Devaud, L., Garrido, B., & Rivera, C. (2021). Trophic Ecology of Juvenile Southern King Crab Associated with Kelp Forest: Evidence of Cannibalism. Diversity, 13(11), 556. https://doi.org/10.3390/d13110556"
198,Polychaeta,Polychaeta,Lithodes santolla (juvenile),Decapoda,Pardo et al. (2021),"Pardo, L. M., Andrade, C., Zenteno-Devaud, L., Garrido, B., & Rivera, C. (2021). Trophic Ecology of Juvenile Southern King Crab Associated with Kelp Forest: Evidence of Cannibalism. Diversity, 13(11), 556. https://doi.org/10.3390/d13110556"
199,Polyplacophora,Polyplacophora,Lithodes santolla (juvenile),Decapoda,Pardo et al. (2021),"Pardo, L. M., Andrade, C., Zenteno-Devaud, L., Garrido, B., & Rivera, C. (2021). Trophic Ecology of Juvenile Southern King Crab Associated with Kelp Forest: Evidence of Cannibalism. Diversity, 13(11), 556. https://doi.org/10.3390/d13110556"
200,Porifera,Porifera,Lithodes santolla (juvenile),Decapoda,Pardo et al. (2021),"Pardo, L. M., Andrade, C., Zenteno-Devaud, L., Garrido, B., & Rivera, C. (2021). Trophic Ecology of Juvenile Southern King Crab Associated with Kelp Forest: Evidence of Cannibalism. Diversity, 13(11), 556. https://doi.org/10.3390/d13110556"
201,Pseudechinus magellanicus,Echinoidea,Lithodes santolla (juvenile),Decapoda,Pardo et al. (2021),"Pardo, L. M., Andrade, C., Zenteno-Devaud, L., Garrido, B., & Rivera, C. (2021). Trophic Ecology of Juvenile Southern King Crab Associated with Kelp Forest: Evidence of Cannibalism. Diversity, 13(11), 556. https://doi.org/10.3390/d13110556"
202,Sediment,"Non-living
",Lithodes santolla (juvenile),Decapoda,Pardo et al. (2021),"Pardo, L. M., Andrade, C., Zenteno-Devaud, L., Garrido, B., & Rivera, C. (2021). Trophic Ecology of Juvenile Southern King Crab Associated with Kelp Forest: Evidence of Cannibalism. Diversity, 13(11), 556. https://doi.org/10.3390/d13110556"
203,Benthic decapoda,Decapoda,Lutra felina,Mammalia,Córdova et al. (2009),"Córdova, O., Rau, J. R., Suazo, C. G., & Arriagada, A. (2009). Estudio comparativo de la ecología alimentaria del depredador de alto nivel trófico Lontra felina (Molina, 1782) (Carnivora: Mustelidae) en Chile. Revista de Biología Marina y Oceanografía, 44(2). https://doi.org/10.4067/S0718-19572009000200016"
204,Cottoperca gobio,Teleostei,Lutra felina,Mammalia,Córdova et al. (2009),"Córdova, O., Rau, J. R., Suazo, C. G., & Arriagada, A. (2009). Estudio comparativo de la ecología alimentaria del depredador de alto nivel trófico Lontra felina (Molina, 1782) (Carnivora: Mustelidae) en Chile. Revista de Biología Marina y Oceanografía, 44(2). https://doi.org/10.4067/S0718-19572009000200016"
205,Harpagifer bispinis,Teleostei,Lutra felina,Mammalia,Córdova et al. (2009),"Córdova, O., Rau, J. R., Suazo, C. G., & Arriagada, A. (2009). Estudio comparativo de la ecología alimentaria del depredador de alto nivel trófico Lontra felina (Molina, 1782) (Carnivora: Mustelidae) en Chile. Revista de Biología Marina y Oceanografía, 44(2). https://doi.org/10.4067/S0718-19572009000200016"
206,Patagonotothen sp.,Teleostei,Lutra felina,Mammalia,Córdova et al. (2009),"Córdova, O., Rau, J. R., Suazo, C. G., & Arriagada, A. (2009). Estudio comparativo de la ecología alimentaria del depredador de alto nivel trófico Lontra felina (Molina, 1782) (Carnivora: Mustelidae) en Chile. Revista de Biología Marina y Oceanografía, 44(2). https://doi.org/10.4067/S0718-19572009000200016"
207,Prolatilus jugularis,Teleostei,Lutra felina,Mammalia,Córdova et al. (2009),"Córdova, O., Rau, J. R., Suazo, C. G., & Arriagada, A. (2009). Estudio comparativo de la ecología alimentaria del depredador de alto nivel trófico Lontra felina (Molina, 1782) (Carnivora: Mustelidae) en Chile. Revista de Biología Marina y Oceanografía, 44(2). https://doi.org/10.4067/S0718-19572009000200016"
208,Brown algae,Macroalgae,Loxechinus albus,Echinoidea,Castilla (1985),"Castilla, J. C. (1985). Food Webs and Functional Aspects of the Kelp, Macrocystis pyrifera, Community in the Beagle Channel, Chile. En W. R. Siegfried, P. R. Condy, & R. M. Laws (Eds.), Antarctic Nutrient Cycles and Food Webs (pp. 407-414). Springer Berlin Heidelberg. https://doi.org/10.1007/978-3-642-82275-9_57"
209,Harpagifer bispinis,Teleostei,Loxechinus albus,Echinoidea,Andrade (pers. comm.),
210,Red algae,Macroalgae,Loxechinus albus,Echinoidea,Castilla (1985),"Castilla, J. C. (1985). Food Webs and Functional Aspects of the Kelp, Macrocystis pyrifera, Community in the Beagle Channel, Chile. En W. R. Siegfried, P. R. Condy, & R. M. Laws (Eds.), Antarctic Nutrient Cycles and Food Webs (pp. 407-414). Springer Berlin Heidelberg. https://doi.org/10.1007/978-3-642-82275-9_57"
211,Sprattus fuegensis,Teleostei,Macruronus magellanicus,Teleostei,Zuleta & Rubilar (2010),"Zuleta, A & P. Rubilar. (2010). Impacto del desarrollo de una pesquería de sardina austral (Sprattus fueguensis) en aguas interiores de las regiones X-XII. Informe Técnico. Centro de Estudios Pesqueros S.A."
212,Benthic decapoda,Decapoda,Macruronus magellanicus,Teleostei,Subsecretaría del Medio Ambiente (2013),Subsecretaría del Medio Ambiente (2013). Segundo informe: Diagnóstico de la relación predadores–presa en el Área Marina Costera Protegida Francisco Coloane (ID 612543-3-LE13) (106 pp.). Ministerio del Medio Ambiente.
213,Brown algae,Macroalgae,Margarella violacea,Gastropoda,Andrade (pers. comm.),
214,Euphausia vallentini,Euphausiacea,Martialia hyadesii,Cephalopoda,Hughes (2010),"Hughes, A. R. (2010). Determining the unknown in Southern Ocean squid: Distribution and diet of Histeoteuthis eltaninae and Martialia hyadesi. 9042340 Bytes. https://doi.org/10.25959/23230271.V1"
215,Bivalvia (larvae),Bivalvia,Maurolicus australis (larvae),Teleostei,Landaeta et al. (2011),"Landaeta, M. F., Suarez-Donoso, N., Bustos, C. A., & Balbontin, F. (2011). Feeding habits of larval Maurolicus parvipinnis (Pisces: Sternoptychidae) in Patagonian fjords. Journal of Plankton Research, 33(12), 1813-1824. https://doi.org/10.1093/plankt/fbr081"
216,Calanoid (copepodite),Copepoda,Maurolicus australis (larvae),Teleostei,Landaeta et al. (2011),"Landaeta, M. F., Suarez-Donoso, N., Bustos, C. A., & Balbontin, F. (2011). Feeding habits of larval Maurolicus parvipinnis (Pisces: Sternoptychidae) in Patagonian fjords. Journal of Plankton Research, 33(12), 1813-1824. https://doi.org/10.1093/plankt/fbr081"
217,Copepoda (egg),Copepoda,Maurolicus australis (larvae),Teleostei,Landaeta et al. (2011),"Landaeta, M. F., Suarez-Donoso, N., Bustos, C. A., & Balbontin, F. (2011). Feeding habits of larval Maurolicus parvipinnis (Pisces: Sternoptychidae) in Patagonian fjords. Journal of Plankton Research, 33(12), 1813-1824. https://doi.org/10.1093/plankt/fbr081"
218,Copepoda (nauplius),Copepoda,Maurolicus australis (larvae),Teleostei,Landaeta et al. (2011),"Landaeta, M. F., Suarez-Donoso, N., Bustos, C. A., & Balbontin, F. (2011). Feeding habits of larval Maurolicus parvipinnis (Pisces: Sternoptychidae) in Patagonian fjords. Journal of Plankton Research, 33(12), 1813-1824. https://doi.org/10.1093/plankt/fbr081"
219,Amphipoda,Amphipoda,Megaptera novaeangliae,Mammalia,Haro (2019),"Haro, D. P. (2019). Rol trófico de la ballena Jorobada, Megaptera Novaeangliae (Borowski, 1781), y caracterización de la red trófica en el área marina costera protegida Francisco Coloane, Estrecho de Magallanes, Chile [PhD Thesis]. Universidad de Chile, Santiago, Chile."
220,Benthic decapoda,Decapoda,Megaptera novaeangliae,Mammalia,Haro et al. (2025),"Haro, D., Labra, F. A., Neira, S., Hernández-Padilla, J. C., & Arreguín-Sánchez, F. (2025). Ecological role of marine mammals in the Magellan Strait: Insights from trophic modeling. Ecological Modelling, 501, 110944. https://doi.org/10.1016/j.ecolmodel.2024.110944"
221,Euphausia lucens,Euphausiacea,Megaptera novaeangliae,Mammalia,Haro (2019),"Haro, D. P. (2019). Rol trófico de la ballena Jorobada, Megaptera Novaeangliae (Borowski, 1781), y caracterización de la red trófica en el área marina costera protegida Francisco Coloane, Estrecho de Magallanes, Chile [PhD Thesis]. Universidad de Chile, Santiago, Chile."
222,Euphausia vallentini,Euphausiacea,Megaptera novaeangliae,Mammalia,Haro (2019),"Haro, D. P. (2019). Rol trófico de la ballena Jorobada, Megaptera Novaeangliae (Borowski, 1781), y caracterización de la red trófica en el área marina costera protegida Francisco Coloane, Estrecho de Magallanes, Chile [PhD Thesis]. Universidad de Chile, Santiago, Chile."
223,Sprattus fuegensis,Teleostei,Megaptera novaeangliae,Mammalia,Haro et al. (2025),"Haro, D., Labra, F. A., Neira, S., Hernández-Padilla, J. C., & Arreguín-Sánchez, F. (2025). Ecological role of marine mammals in the Magellan Strait: Insights from trophic modeling. Ecological Modelling, 501, 110944. https://doi.org/10.1016/j.ecolmodel.2024.110944"
224,Sprattus fuegensis,Teleostei,Merluccius australis,Teleostei,Zuleta & Rubilar (2010),"Zuleta, A & P. Rubilar. (2010). Impacto del desarrollo de una pesquería de sardina austral (Sprattus fueguensis) en aguas interiores de las regiones X-XII. Informe Técnico. Centro de Estudios Pesqueros S.A."
225,Benthic decapoda,Decapoda,Merluccius sp.,Teleostei,Cubillos et al. (2003),"Cubillos, L. A., Rebolledo, H. P., & Hernández, A. F. (2003). Prey composition and estimation of Q/B for the Chilean hake, Merluccius gayi (Gadiformes, Merluccidae), in the central-south area off Chile (34°-40° S). Archive of Fishery and Marine Research, 50(3), 271-286."
226,Bryozoa,Bryozoa,Merluccius sp.,Teleostei,Alonso et al. (2019),"Alonso, R. B., Romero, M. A., Ocampo Reinaldo, M., Bustelo, P. E., Medina, A. I., & Gonzalez, R. (2019). The opportunistic sense: The diet of Argentine hake Merluccius hubbsi reflects changes in prey availability. Regional Studies in Marine Science, 27, 100540. https://doi.org/10.1016/j.rsma.2019.100540"
