Reference,Full reference,,,,,,,,,,,,,,,,,,,,,,,,
Romero2004,"Romero, M. C., Lovrich, G. A., Tapella, F., & Thatje, S. (2004). Feeding ecology of the crab Munida subrugosa (Decapoda: Anomura: Galatheidae) in the Beagle Channel, Argentina. Journal of the Marine Biological Association of the United Kingdom, 84(2), 359–365. https://doi.org/10.1017/S0025315404009282h",,,,,,,,,,,,,,,,,,,,,,,,
Roopnarine2013,"Roopnarine, P. D., & Hertog, R. (2013). Detailed Food Web Networks of Three Greater Antillean Coral Reef Systems: The Cayman Islands, Cuba, and Jamaica. Dataset Papers in Ecology, 2013(January 2013), 1–9. https://doi.org/10.7167/2013/857470",,,,,,,,,,,,,,,,,,,,,,,,
Rosa1997,"Rosa, S. G. de la, & Sánchez, F. (1997). Alimentación de Squalus acanthias y predación sobre Merluccius ubbsi en el Mar Argentino entre 34o47´- 47o S. Rev. Invest. Des. Pesq., 11(July), 119–133.",,,,,,,,,,,,,,,,,,,,,,,,
Rosenfeld2018,"Rosenfeld, S., Marambio, J., Ojeda, J., Rodríguez, J. P., González-Wevar, C., Gerard, K., … Mansilla, A. (2018). Trophic ecology of two co-existing Sub-Antarctic limpets of the genus Nacella: Spatio-temporal variation in food availability and diet composition of Nacella magellanica and N. deaurata. ZooKeys, 2018(738), 1–25. https://doi.org/10.3897/zookeys.738.21175",,,,,,,,,,,,,,,,,,,,,,,,
Ruocco2009,"Ruocco, B. N. L., Lucifora, L. O., Astarloa, J. M. D. De, Bremec, C., Plata, M., & De, D. (2009). Diet of the white-dotted skate , Bathyraja albomaculata , in waters of Argentina, 25, 94–97. https://doi.org/10.1111/j.1439-0426.2008.01081.x",,,,,,,,,,,,,,,,,,,,,,,,
Ruppert1996,"Ruppert, E. E., & Barnes, R. D. (1996). Zoología de los invertebrados. McGraw-Hill Interamericana.",,,,,,,,,,,,,,,,,,,,,,,,
Sabatini2001,"Sabatini, M. E., Giménez, J., & Rocco, V. (2001). Características del zooplancton del área costera de la plataforma patagónica austral (Argentina). Bol. Inst. Esp. Oceanofr., 17(3–4), 245–254.",,,,,,,,,,,,,,,,,,,,,,,,
Sanchez1996,"Sanchez, F., & Prenski, L. B. (1996). Ecología trófica de peces demersales en el Golfo San Jorge. Revista de Investigación y Desarrollo Pesquero, 10, 57–71.",,,,,,,,,,,,,,,,,,,,,,,,
Sanchez1999,Felisa Sanchez (1999) COLOGIATROFICA DE LAMERLUZADE COLA (Macruronus magellanicus) DELATLANTICO SUDOCCIDENTAL,,,,,,,,,,,,,,,,,,,,,,,,
Sanchez2005,"Sánchez, F. y N. Marí. (2005) Espectros tróficos específicos de especies de peces demersales de la región austral del Atlántico sudoccidental",,,,,,,,,,,,,,,,,,,,,,,,
Schejter2002,"Schejter, L., Bremec, C., Akselman, R., Hernández, D., & Spivak, E. (2002). Annual feeding cycle of the patagonian scallop Zygochlamys patagonica (King and Broderip, 1832) in Reclutas bed (39øS-55øW), Argentina sea.[Ciclo de alimentación anual de la vieira patagónica Zygochlamys patagonica (King and Broderip, 1832) en el banco Re. Journal of Shellfish Research, 21(2), 553–559. Retrieved from http://www.sidalc.net/cgi-bin/wxis.exe/?IsisScript=docau.xis&method=post&formato=2&cantidad=1&expresion=mfn=001268",,,,,,,,,,,,,,,,,,,,,,,,
SenGupta2003,"Sen Gupta, B. K. (2003). Modern Foraminifera. Dordrecht: Springer Netherlands. https://doi.org/10.1007/0-306-48104-9",,,,,,,,,,,,,,,,,,,,,,,,
Shelton1978,"Shelton, R. G. J. (1978). On the feeding of the hagfish myxine glutinosa in the north sea. Journal of the Marine Biological Association of the United Kingdom, 58(1), 81–86. https://doi.org/10.1017/S0025315400024413",,,,,,,,,,,,,,,,,,,,,,,,
Shirley1990,"Shirley, T. C. (1990). Ecology of Priapulus caudatus Lamarck, 1816 (Priapulida) in an Alaskan subarctic ecosystem. Bulletin of Marine Science, 47(1), 149-158.",,,,,,,,,,,,,,,,,,,,,,,,
Stoecker1987,"Stoecker, D. K., Michaels, A. E., & and Davis, L. H. (1987). Grazing by the jellyfish, Aurelia aurita, on microzooplankton.  Journal of Plankton Research, 9(5): 901-915., 9(5), 901–915.",,,,,,,,,,,,,,,,,,,,,,,,
Tatian2004,"Tatian, M., Sahade, R., & Esnal, G. B. (2004). Diet components in the food of Antarctic Ascidiaceans living at low levels of primary production. Antarctic Science, 16(02), 123-128.",,,,,,,,,,,,,,,,,,,,,,,,
Thieltges2011,"Thieltges, D. W., Reise, K., Mouritsen, K. N., McLaughlin, J. P., & Poulin, R. (2011). Food web including metazoan parasites for a tidal basin in Germany and Denmark. Ecology, 92(10), 2005–2005. https://doi.org/10.1890/11-0351.1",,,,,,,,,,,,,,,,,,,,,,,,
Torres2013,"Torres MA., Coll M., Heymans JJ., Christensen V,. Sobrino I. (2013) Food-web structure of and fishing impacts on the Gulf of Cadiz ecosystem (South-western Spain). Ecological Modelling 265 (2013) 26–44",,,,,,,,,,,,,,,,,,,,,,,,
Tringali2012,Leonardo S. Tringali. (2012). Biología y pesca de la merluza del Mar Argentino. Mar del Plata: Instituto Nacional de Investigación y Desarrollo Pesquero.,,,,,,,,,,,,,,,,,,,,,,,,
Troccoli2019,TROCCOLI GH; AGUILAR E; MARTINEZ P; BELLEGGIA MAURO. (2019) Dieta de la merluza negra (Dissostichus eleginoides) en el borde de la plataforma austral. XVIII Congreso Latinoamericano de Ciencias del Mar-COLACMAR,,,,,,,,,,,,,,,,,,,,,,,,
Vásquez1984,"Vásquez, J. A., Castilla, J. C., & Santelices, B. (1984). Distributional patterns and diets of four species of sea urchins in giant kelp forest (Macrocystis pyrifera) of Puerto Toro, Navarino Island, Chile. Marine Ecology Progress Series1, 19, 55–63.",,,,,,,,,,,,,,,,,,,,,,,,
Vega2013,"Vega, R., Dantagnan, P., Mardones, A., Valdebenito, I., Zamorano, J., & Encina, F. (2013). Bases biológicas para el cultivo del puye Galaxia maculatus (Jenyns, 1842): una revisión. Latin American Journal of Aquatic Research, 41(3), 369–386. https://doi.org/103856/vol41-issue3-fulltext-1",,,,,,,,,,,,,,,,,,,,,,,,
Venerus2005,"Venerus, L. A., Calcagno, J. A., Lovrich, G. A., & Nahabedian, D. E. (2005). Differential growth of the barnacle Notobalanus flosculus (Archaeobalanidae) onto artificial and live substrates in the Beagle Channel, Argentina. Helgoland Marine Research, 59(3), 196–205. https://doi.org/10.1007/s10152-005-0219-5",,,,,,,,,,,,,,,,,,,,,,,,
Vinuesa2007,"Vinuesa, J. H., & Varisco, M. (2007). Trophic ecology of the lobster krill Munida gregaria in San Jorge Gulf, Argentina. Investigaciones Marinas, 35(2), 25–34. https://doi.org/10.4067/S0717-71782007000200003",,,,,,,,,,,,,,,,,,,,,,,,
Wiencke1998,"Wiencke, C., Ferreyra, G., Arntz, W., & Rinaldi, C. (1998). The Potter Cove coastal ecosystem, Antarctica. Ber. Polarforsch. Meeresforsch., 299(1 998), 342. Retrieved from https://epic.awi.de/26479/1/BerPolarforsch1998299.pdf",,,,,,,,,,,,,,,,,,,,,,,,
Zaixso2015I,"Zaixso, H. E., & Boraso de Zaixso, A. L. (2015). La zona costera patagónica argentina (Vol. I).",,,,,,,,,,,,,,,,,,,,,,,,
Zaixso2015II,"Zaixso, H. E., & Boraso de Zaixso, A. L. (2015). La zona costera patagónica argentina (Vol. II).",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Nuevas,,,,,,,,,,,,,,,,,,,,,,,,,
tegula,https://www.scielo.cl/scielo.php?pid=S0718-686X2018000300051&script=sci_arttext&tlng=pt,,,,,,,,,,,,,,,,,,,,,,,,
pinguino,http://www.aveschile.cl/wp-content/uploads/2019/01/2_Almonacid_Vol.24-1-2018-RChO_dieta-pinguinos.pdf,,,,,,,,,,,,,,,,,,,,,,,,
Sardina,http://repositorio.udec.cl/jspui/bitstream/11594/1828/1/Tesis_Composicion_dietaria_de_Sprattus.Marked.pdf,,,,,,,,,,,,,,,,,,,,,,,,
P. tessellata,https://link.springer.com/article/10.1007/s00300-015-1726-8,,,,,,,,,,,,,,,,,,,,,,,,
Centolla Pardo-Andrade et al,,,,,,,,,,,,,,,,,,,,,,,,,
Delfín austral,https://www.researchgate.net/profile/Ann-Katrien-Lescrauwaet/publication/281071882_Notes_on_the_behaviour_and_ecology_of_the_Peale's_dolphin_Lagenorhynchus_australis_in_the_Strait_of_Magellan_Chile/links/5b598ce90f7e9bc79a65d225/Notes-on-the-behaviour-and-ecology-of-the-Peales-dolphin-Lagenorhynchus-australis-in-the-Strait-of-Magellan-Chile.pdf,,,,,,,,,,,,,,,,,,,,,,,,
Orca,https://www.scielo.cl/scielo.php?pid=S0718-19572015000100013&script=sci_arttext&tlng=pt,,,,,,,,,,,,,,,,,,,,,,,,
Skua,https://repositorio.unab.cl/xmlui/handle/ria/9936,,,,,,,,,,,,,,,,,,,,,,,,
Playero ártico,https://www.researchgate.net/profile/Carmen-Espoz-2/publication/262687507_Trophic_ecology_of_the_Red_Knot_Calidris_canutus_rufa_at_Bahia_Lomas_Tierra_del_Fuego_Chile/links/5417551a0cf2f48c74a406ec/Trophic-ecology-of-the-Red-Knot-Calidris-canutus-rufa-at-Bahia-Lomas-Tierra-del-Fuego-Chile.pdf,,,,,,,,,,,,,,,,,,,,,,,,
Nacellas Rosenfeld,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904503/,,,,,,,,,,,,,,,,,,,,,,,,
Lobo,https://onlinelibrary.wiley.com/doi/full/10.1111/mms.12379,,,,,,,,,,,,,,,,,,,,,,,,
Hüne et al. 2018,,,,,,,,,,,,,,,,,,,,,,,,,
Tonina ,https://link.springer.com/article/10.1007/s00300-013-1289-5,,,,,,,,,,,,,,,,,,,,,,,,
Pez hielo,https://www.cambridge.org/core/journals/antarctic-science/article/abs/shape-condition-and-diet-of-the-pike-icefish-champsocephalus-esox-teleostei-channichthyidae-evidence-of-phenotypic-plasticity/F45F7393F50141A0E3999A96CA55B1DC,,,,,,,,,,,,,,,,,,,,,,,,
Pingüino rey,https://repositorio.uc.cl/xmlui/handle/11534/45382,,,,,,,,,,,,,,,,,,,,,,,,
Chungungo,https://www.scielo.cl/scielo.php?pid=S0718-19572009000200016&script=sci_arttext,,,,,,,,,,,,,,,,,,,,,,,,
food web,"Guzmán L, Ríos C (1986) Análisis de la estructura en comunidades intermareales del Cabo de Hornos: ambientes de bloques y cantos. Estud Oceanol 5:67–105",,,,,,,,,,,,,,,,,,,,,,,,
food web,"Castilla JC (1985) Food webs and functional aspects of the kelp, Macrocystis pyrifera, community in the Beagle Channel, Chile. In: Siegfried WR, Condy PR, Laws RM (eds) Antarctic nutrient cycles and food webs. Springer, Berlin, pp 407–414",,,,,,,,,,,,,,,,,,,,,,,,
food web,"Castilla JC, Moreno CA (1982) Sea urchins and Macrocystis pyrifera: experimental test of their ecological relations in southern Chile. In: Lawrence JM (ed) Proceedings of the international echinoderm conference, Tampa Bay, Florida. Rotterdam, pp 257–263",,,,,,,,,,,,,,,,,,,,,,,,
mytilus,https://www.journals.uchicago.edu/doi/abs/10.2307/1540904,,,,,,,,,,,,,,,,,,,,,,,,
