Predator,Prey,Reference,Location,Latitude,Longitude,Depth
Bathyraja griseocauda,Cephalopoda,Brickle2003,,,,
Bathyraja griseocauda,Copepoda,Brickle2003,,,,
Bathyraja brachyurops,Cottoperca gobio,Brickle2003,,,,
Bathyraja griseocauda,Cottoperca gobio,Brickle2003,,,,
Bathyraja albomaculata,Crustacea,Brickle2003,,,,
Bathyraja griseocauda,Crustacea,Brickle2003,,,,
Bathyraja albomaculata,Dissostichus eleginoides,Brickle2003,,,,
Bathyraja brachyurops,Dissostichus eleginoides,Brickle2003,,,,
Bathyraja griseocauda,Dissostichus eleginoides,Brickle2003,,,,
Bathyraja albomaculata,Euphausiacea,Brickle2003,,,,
Bathyraja brachyurops,Euphausiacea,Brickle2003,,,,
Bathyraja griseocauda,Euphausiacea,Brickle2003,,,,
Bathyraja albomaculata,Gammaridea,Brickle2003,,,,
Bathyraja brachyurops,Gammaridea,Brickle2003,,,,
Bathyraja griseocauda,Gammaridea,Brickle2003,,,,
Bathyraja brachyurops,Gastropoda,Brickle2003,,,,
Bathyraja griseocauda,Gastropoda,Brickle2003,,,,
Bathyraja albomaculata,Isopoda,Brickle2003,,,,
Bathyraja brachyurops,Isopoda,Brickle2003,,,,
Bathyraja griseocauda,Isopoda,Brickle2003,,,,
Bathyraja brachyurops,Macroalgae,Brickle2003,,,,
Bathyraja griseocauda,Macroalgae,Brickle2003,,,,
Bathyraja brachyurops,Macruronus magellanicus,Brickle2003,,,,
Bathyraja griseocauda,Macruronus magellanicus,Brickle2003,,,,
Bathyraja albomaculata,Munida gregaria,Brickle2003,,,,
Bathyraja brachyurops,Munida gregaria,Brickle2003,,,,
Bathyraja griseocauda,Munida gregaria,Brickle2003,,,,
Bathyraja albomaculata,Myxine glutinosa,Brickle2003,,,,
Bathyraja brachyurops,Myxine glutinosa,Brickle2003,,,,
Bathyraja griseocauda,Myxine glutinosa,Brickle2003,,,,
Bathyraja albomaculata,Nemertea,Brickle2003,,,,
Bathyraja brachyurops,Nemertea,Brickle2003,,,,
Bathyraja albomaculata,Ophiuroidea,Brickle2003,,,,
Bathyraja brachyurops,Ophiuroidea,Brickle2003,,,,
Bathyraja brachyurops,Pagurus comptus,Brickle2003,,,,
Bathyraja griseocauda,Pagurus comptus,Brickle2003,,,,
Bathyraja brachyurops,Patagonotothen sp.,Brickle2003,,,,
Bathyraja griseocauda,Patagonotothen sp.,Brickle2003,,,,
Bathyraja albomaculata,Peltarion spinosulum,Brickle2003,,,,
Bathyraja brachyurops,Peltarion spinosulum,Brickle2003,,,,
Bathyraja albomaculata,Polychaeta,Brickle2003,,,,
Bathyraja brachyurops,Polychaeta,Brickle2003,,,,
Bathyraja griseocauda,Polychaeta,Brickle2003,,,,
Bathyraja brachyurops,Priapulida,Brickle2003,,,,
Bathyraja brachyurops,Sprattus fuegensis,Brickle2003,,,,
Bathyraja griseocauda,Sprattus fuegensis,Brickle2003,,,,
Nereididae,Aged detritus,Brose2005,,,,
Ostracoda,Aged detritus,Brose2005,,,,
Tanaidacea,Aged detritus,Brose2005,,,,
Polyplacophora,Bryozoa,Brose2005,,,,
Euphausiacea,Copepoda,Brose2005,,,,
Bivalvia,Diatomea,Brose2005,,,,
Glabraster antarctica,Diatomea,Brose2005,,,,
Ostracoda,Diatomea,Brose2005,,,,
Tanaidacea,Diatomea,Brose2005,,,,
Ophiuroidea,Euphausiacea,Brose2005,,,,
Bryozoa,Fresh detritus,Brose2005,,,,
Echiura,Fresh detritus,Brose2005,,,,
Gastropoda,Fresh detritus,Brose2005,,,,
Glabraster antarctica,Fresh detritus,Brose2005,,,,
Membranipora isabelleana,Fresh detritus,Brose2005,,,,
Ostracoda,Fresh detritus,Brose2005,,,,
Tanaidacea,Fresh detritus,Brose2005,,,,
Glabraster antarctica,Ostracoda,Brose2005,,,,
Polychaeta,Ostracoda,Brose2005,,,,
Bivalvia,Phytoplankton,Brose2005,,,,
Bryozoa,Phytoplankton,Brose2005,,,,
Euphausiacea,Phytoplankton,Brose2005,,,,
Glabraster antarctica,Phytoplankton,Brose2005,,,,
Membranipora isabelleana,Phytoplankton,Brose2005,,,,
Ostracoda,Phytoplankton,Brose2005,,,,
Tanaidacea,Phytoplankton,Brose2005,,,,
Gastropoda,Porifera,Brose2005,,,,
Polyplacophora,Porifera,Brose2005,,,,
Ostracoda,Zooplankton,Brose2005,,,,
Tanaidacea,Aged detritus,Brueggeman1998,,,,
Euphausiacea,Copepoda,Brueggeman1998,,,,
Zooplankton,Copepoda,Brueggeman1998,,,,
Ostracoda,Diatomea,Brueggeman1998,,,,
Tanaidacea,Diatomea,Brueggeman1998,,,,
Euphausiacea,Euphausiacea,Brueggeman1998,,,,
Ascidiacea,Fresh detritus,Brueggeman1998,,,,
Ostracoda,Fresh detritus,Brueggeman1998,,,,
Ascidiacea,Phytoplankton,Brueggeman1998,,,,
Bryozoa,Phytoplankton,Brueggeman1998,,,,
Copepoda,Phytoplankton,Brueggeman1998,,,,
Euphausiacea,Phytoplankton,Brueggeman1998,,,,
Membranipora isabelleana,Phytoplankton,Brueggeman1998,,,,
Cephalopoda,Polychaeta,Brueggeman1998,,,,
Euphausiacea,Zooplankton,Brueggeman1998,,,,
Hyperiidea,Zooplankton,Brueggeman1998,,,,
Raja (Dipturus) chilensis,Amphipoda,Buren2004,,,,
Raja (Dipturus) chilensis,Arbacia dufresnii,Buren2004,,,,
Raja (Dipturus) chilensis,Cephalopoda,Buren2004,,,,
Raja (Dipturus) chilensis,Congiopodus peruvianus,Buren2004,,,,
Raja (Dipturus) chilensis,Gammaridea,Buren2004,,,,
Raja (Dipturus) chilensis,Gastropoda,Buren2004,,,,
Raja (Dipturus) chilensis,Genypterus blacodes,Buren2004,,,,
Raja (Dipturus) chilensis,Hyperiidea,Buren2004,,,,
Raja (Dipturus) chilensis,Isopoda,Buren2004,,,,
Raja (Dipturus) chilensis,Macruronus magellanicus,Buren2004,,,,
Raja (Dipturus) chilensis,Merluccius hubbsi,Buren2004,,,,
Raja (Dipturus) chilensis,Munida gregaria,Buren2004,,,,
Raja (Dipturus) chilensis,Myxine glutinosa,Buren2004,,,,
Raja (Dipturus) chilensis,Patagonotothen ramsayi,Buren2004,,,,
Raja (Dipturus) chilensis,Peltarion spinosulum,Buren2004,,,,
Raja (Dipturus) chilensis,Polychaeta,Buren2004,,,,
Raja (Dipturus) chilensis,Porifera,Buren2004,,,,
Raja (Dipturus) chilensis,Pseudechinus magellanicus,Buren2004,,,,
Raja (Dipturus) chilensis,Raja (Dipturus) chilensis,Buren2004,,,,
Raja (Dipturus) chilensis,Stromateus brasiliensis,Buren2004,,,,
Tonicia sp.,Bryozoa,Camus2013,,,,
Fissurella picta,Cladophora sp.,Camus2013,,,,
Fissurella picta,Codium sp.,Camus2013,,,,
Siphonaria lessonii,Codium sp.,Camus2013,,,,
Tonicia sp.,Codium sp.,Camus2013,,,,
Fissurella picta,Ectocarpus sp.,Camus2013,,,,
Loxechinus albus,Hydrozoa,Camus2013,,,,
Fissurella picta,Porifera,Camus2013,,,,
Tonicia sp.,Porifera,Camus2013,,,,
Loxechinus albus,Ulva sp.,Camus2013,,,,
Siphonaria lessonii,Ulva sp.,Camus2013,,,,
Siphonaria lessonii,Ulva sp.,Camus2013,,,,
Odontesthes nigricans,Amphipoda,Carballo2008,,,,
Odontesthes nigricans,Hydrozoa,Carballo2008,,,,
Odontesthes nigricans,Isopoda,Carballo2008,,,,
Odontesthes nigricans,Macroalgae,Carballo2008,,,,
Odontesthes nigricans,Munida gregaria,Carballo2008,,,,
Odontesthes nigricans,Polychaeta,Carballo2008,,,,
Cosmasterias lurida,Arbacia dufresnii,Castilla1985,,,,
Cosmasterias lurida,Ascidiacea,Castilla1985,,,,
Cosmasterias lurida,Aulacomya atra,Castilla1985,,,,
Trophon geversianus,Aulacomya atra,Castilla1985,,,,
Arbacia dufresnii,Bryozoa,Castilla1985,,,,
Cosmasterias lurida,Crepipatella dilatata,Castilla1985,,,,
Cosmasterias lurida,Fissurella oriens,Castilla1985,,,,
Campylonotus vagans,Fresh detritus,Castilla1985,,,,
Exosphaeroma gigas,Fresh detritus,Castilla1985,,,,
Munida gregaria,Fresh detritus,Castilla1985,,,,
Pareuthria fuscata,Fresh detritus,Castilla1985,,,,
Cosmasterias lurida,Gaimardia trapesina,Castilla1985,,,,
Cosmasterias lurida,Halicarcinus planatus ,Castilla1985,,,,
Cosmasterias lurida,Loxechinus albus,Castilla1985,,,,
Arbacia dufresnii,Macroalgae,Castilla1985,,,,
Crepipatella dilatata,Macroalgae,Castilla1985,,,,
Fissurella picta,Macroalgae,Castilla1985,,,,
Margarella violacea,Macroalgae,Castilla1985,,,,
Arbacia dufresnii,Macrocystis pyrifera,Castilla1985,,,,
Crepipatella dilatata,Macrocystis pyrifera,Castilla1985,,,,
Fissurella picta,Macrocystis pyrifera,Castilla1985,,,,
Loxechinus albus,Macrocystis pyrifera,Castilla1985,,,,
Margarella violacea,Macrocystis pyrifera,Castilla1985,,,,
Nacella magellanica,Macrocystis pyrifera,Castilla1985,,,,
Nacella mytilina,Macrocystis pyrifera,Castilla1985,,,,
Pseudechinus magellanicus,Macrocystis pyrifera,Castilla1985,,,,
Cosmasterias lurida,Munida gregaria,Castilla1985,,,,
Cosmasterias lurida,Nacella magellanica,Castilla1985,,,,
Cosmasterias lurida,Nacella mytilina,Castilla1985,,,,
Cosmasterias lurida,Necromass,Castilla1985,,,,
Halicarcinus planatus ,Necromass,Castilla1985,,,,
Munida gregaria,Necromass,Castilla1985,,,,
Pareuthria fuscata,Necromass,Castilla1985,,,,
Cosmasterias lurida,Paralomis granulosa,Castilla1985,,,,
Cosmasterias lurida,Pareuthria fuscata,Castilla1985,,,,
Trophon geversianus,Perumytilus purpuratus,Castilla1985,,,,
Cosmasterias lurida,Polyplacophora,Castilla1985,,,,
Glabraster antarctica,Porifera,Castilla1985,,,,
Cosmasterias lurida,Priapulida,Castilla1985,,,,
Cosmasterias lurida,Pseudechinus magellanicus,Castilla1985,,,,
Arbacia dufresnii,Serpulidae,Castilla1985,,,,
Cosmasterias lurida,Serpulidae,Castilla1985,,,,
Cosmasterias lurida,Trophon geversianus,Castilla1985,,,,
Cumacea,Aged detritus,Cohen1990,,,,
Pagurus comptus,Aged detritus,Cohen1990,,,,
Hyperiidea,Copepoda,Cohen1990,,,,
Polychaeta,Copepoda,Cohen1990,,,,
Polychaeta,Cumacea,Cohen1990,,,,
Polychaeta,Euphausiacea,Cohen1990,,,,
Copepoda,Fresh detritus,Cohen1990,,,,
Mytilus edulis chilensis,Fresh detritus,Cohen1990,,,,
Polychaeta,Fresh detritus,Cohen1990,,,,
Polychaeta,Hyperiidea,Cohen1990,,,,
Pagurus comptus,Mytilus edulis chilensis,Cohen1990,,,,
Polychaeta,Ostracoda,Cohen1990,,,,
Copepoda,Phytoplankton,Cohen1990,,,,
Pagurus comptus,Polychaeta,Cohen1990,,,,
Lithodes santolla,Amphipoda,Comoglio1990,,,,
Lithodes santolla,Ascidiacea,Comoglio1990,,,,
Lithodes santolla,Bivalvia,Comoglio1990,,,,
Lithodes santolla,Bryozoa,Comoglio1990,,,,
Lithodes santolla,Copepoda,Comoglio1990,,,,
Lithodes santolla,Gastropoda,Comoglio1990,,,,
Lithodes santolla,Halicarcinus planatus ,Comoglio1990,,,,
Lithodes santolla,Hydrozoa,Comoglio1990,,,,
Lithodes santolla,Isopoda,Comoglio1990,,,,
Lithodes santolla,Macroalgae,Comoglio1990,,,,
Lithodes santolla,Munida gregaria,Comoglio1990,,,,
Lithodes santolla,Ophiuroidea,Comoglio1990,,,,
Lithodes santolla,Pagurus comptus,Comoglio1990,,,,
Lithodes santolla,Polyplacophora,Comoglio1990,,,,
Lithodes santolla,Porifera,Comoglio1990,,,,
Lithodes santolla,Pseudechinus magellanicus,Comoglio1990,,,,
Lithodes santolla,Serpulidae,Comoglio1990,,,,
Lithodes santolla,Zooplankton,Comoglio1990,,,,
Lithodes santolla,Amphipoda,Comoglio1994,,,,
Pagurus comptus,Amphipoda,Comoglio1994,,,,
Eurypodius latreillii,Aulacomya atra,Comoglio1994,,,,
Lithodes santolla,Aulacomya atra,Comoglio1994,,,,
Paralomis granulosa,Aulacomya atra,Comoglio1994,,,,
Peltarion spinosulum,Aulacomya atra,Comoglio1994,,,,
Eurypodius latreillii,Bivalvia,Comoglio1994,,,,
Lithodes santolla,Bivalvia,Comoglio1994,,,,
Paralomis granulosa,Bivalvia,Comoglio1994,,,,
Peltarion spinosulum,Bivalvia,Comoglio1994,,,,
Acanthocyclus albatrossis,Calliostoma nudum,Comoglio1994,,,,
Eurypodius latreillii,Calliostoma nudum,Comoglio1994,,,,
Lithodes santolla,Calliostoma nudum,Comoglio1994,,,,
Paralomis granulosa,Calliostoma nudum,Comoglio1994,,,,
Peltarion spinosulum,Calliostoma nudum,Comoglio1994,,,,
Paralomis granulosa,Cirripedia,Comoglio1994,,,,
Halicarcinus planatus ,Cladophora sp.,Comoglio1994,,,,
Eurypodius latreillii,Copepoda,Comoglio1994,,,,
Halicarcinus planatus ,Copepoda,Comoglio1994,,,,
Lithodes santolla,Copepoda,Comoglio1994,,,,
Pagurus comptus,Copepoda,Comoglio1994,,,,
Paralomis granulosa,Copepoda,Comoglio1994,,,,
Peltarion spinosulum,Copepoda,Comoglio1994,,,,
Acanthocyclus albatrossis,Crustacea,Comoglio1994,,,,
Eurypodius latreillii,Crustacea,Comoglio1994,,,,
Peltarion spinosulum,Crustacea,Comoglio1994,,,,
Halicarcinus planatus ,Diatomea,Comoglio1994,,,,
Acanthocyclus albatrossis,Fissurella picta,Comoglio1994,,,,
Eurypodius latreillii,Fissurella picta,Comoglio1994,,,,
Lithodes santolla,Fissurella picta,Comoglio1994,,,,
Paralomis granulosa,Fissurella picta,Comoglio1994,,,,
Peltarion spinosulum,Fissurella picta,Comoglio1994,,,,
Acanthocyclus albatrossis,Gastropoda,Comoglio1994,,,,
Eurypodius latreillii,Gastropoda,Comoglio1994,,,,
Lithodes santolla,Gastropoda,Comoglio1994,,,,
Paralomis granulosa,Gastropoda,Comoglio1994,,,,
Peltarion spinosulum,Gastropoda,Comoglio1994,,,,
Eurypodius latreillii,Halicarcinus planatus ,Comoglio1994,,,,
Lithodes santolla,Halicarcinus planatus ,Comoglio1994,,,,
Eurypodius latreillii,Hiatella arctica,Comoglio1994,,,,
Lithodes santolla,Hiatella arctica,Comoglio1994,,,,
Paralomis granulosa,Hiatella arctica,Comoglio1994,,,,
Peltarion spinosulum,Hiatella arctica,Comoglio1994,,,,
Eurypodius latreillii,Hydrozoa,Comoglio1994,,,,
Lithodes santolla,Hydrozoa,Comoglio1994,,,,
Pagurus comptus,Hydrozoa,Comoglio1994,,,,
Paralomis granulosa,Hydrozoa,Comoglio1994,,,,
Peltarion spinosulum,Hydrozoa,Comoglio1994,,,,
Acanthocyclus albatrossis,Isopoda,Comoglio1994,,,,
Acanthocyclus albatrossis,Isopoda,Comoglio1994,,,,
Eurypodius latreillii,Isopoda,Comoglio1994,,,,
Lithodes santolla,Isopoda,Comoglio1994,,,,
Pagurus comptus,Isopoda,Comoglio1994,,,,
Paralomis granulosa,Isopoda,Comoglio1994,,,,
Acanthocyclus albatrossis,Macroalgae,Comoglio1994,,,,
Eurypodius latreillii,Macroalgae,Comoglio1994,,,,
Lithodes santolla,Macroalgae,Comoglio1994,,,,
Pagurus comptus,Macroalgae,Comoglio1994,,,,
Paralomis granulosa,Macroalgae,Comoglio1994,,,,
Peltarion spinosulum,Macroalgae,Comoglio1994,,,,
Acanthocyclus albatrossis,Macrocystis pyrifera,Comoglio1994,,,,
Lithodes santolla,Macrocystis pyrifera,Comoglio1994,,,,
Paralomis granulosa,Macrocystis pyrifera,Comoglio1994,,,,
Acanthocyclus albatrossis,Margarella violacea,Comoglio1994,,,,
Eurypodius latreillii,Margarella violacea,Comoglio1994,,,,
